P1,P2,P3,P4
2.789517632806757064e+01,3.491935612079643647e+01,-7.740404388516371625e+01,-4.830936587994760600e+01
2.791489968755307771e+01,3.431706421508526716e+01,-7.733799260601018943e+01,-4.767279055951242128e+01
2.793385141590281151e+01,3.373833559673447269e+01,-7.727452543143527919e+01,-4.706111978629046178e+01
2.795189121654663467e+01,3.318745449980956153e+01,-7.721411219863510667e+01,-4.647888165977505537e+01
2.796887879291440981e+01,3.266870515837604927e+01,-7.715722274480577880e+01,-4.593060427945950863e+01
2.798467384843599604e+01,3.218637180649947993e+01,-7.710432690714340254e+01,-4.542081574483714235e+01
2.799913608654125596e+01,3.174473867824535134e+01,-7.705589452284409901e+01,-4.495404415540126308e+01
2.801212521066004157e+01,3.134809000767920040e+01,-7.701239542910398939e+01,-4.453481761064519873e+01
2.802350092422222261e+01,3.100071002886653559e+01,-7.697429946311916638e+01,-4.416766421006224874e+01
2.803312293065765104e+01,3.070688297587288673e+01,-7.694207646208576534e+01,-4.385711205314573391e+01
2.804085093339619306e+01,3.047089308276376940e+01,-7.691619626319987901e+01,-4.360768923938897501e+01
2.804654463586770419e+01,3.029702458360470985e+01,-7.689712870365764275e+01,-4.342392386828527151e+01
2.805006374150204707e+01,3.018956171246122011e+01,-7.688534362065513506e+01,-4.331034403932795840e+01
2.805126795372908077e+01,3.015278870339883355e+01,-7.688131085138850551e+01,-4.327147785201034225e+01
2.754999999999998295e+01,3.037999999999999545e+01,-7.769000000000001194e+01,-4.379000000000002046e+01
2.755120421222701665e+01,3.041850618344654578e+01,-7.768839215264530651e+01,-4.382747146520360104e+01
2.755472331786135953e+01,3.053103396225637312e+01,-7.768369349192914797e+01,-4.393697545574999452e+01
2.756041702033287066e+01,3.071309717913472781e+01,-7.767609133987343739e+01,-4.411414636404266787e+01
2.756814502307141268e+01,3.096020967678687086e+01,-7.766577301850007586e+01,-4.435461858248508094e+01
2.757776702950684111e+01,3.126788529791805615e+01,-7.765292584983097868e+01,-4.465402650348070068e+01
2.758914274306902215e+01,3.163163788523353759e+01,-7.763773715588804691e+01,-4.500800451943299407e+01
2.760213186718780776e+01,3.204698128143857616e+01,-7.762039425869318165e+01,-4.541218702274542807e+01
2.761659410529306768e+01,3.250942932923842221e+01,-7.760108448026829819e+01,-4.586220840582146963e+01
2.763238916081465391e+01,3.301449587133834029e+01,-7.757999514263529761e+01,-4.635370306106458571e+01
2.764937673718242905e+01,3.355769475044358074e+01,-7.755731356781609520e+01,-4.688230538087823618e+01
2.766741653782625221e+01,3.413453980925939391e+01,-7.753322707783259204e+01,-4.744364975766589509e+01
2.768636826617598601e+01,3.474054489049104433e+01,-7.750792299470670343e+01,-4.803337058383102232e+01
2.770609162566149308e+01,3.537122383684379656e+01,-7.748158864046031624e+01,-4.864710225177708480e+01
2.772644631971262541e+01,3.602209049102288674e+01,-7.745441133711535997e+01,-4.928047915390755662e+01
2.774729205175924918e+01,3.668865869573357941e+01,-7.742657840669372149e+01,-4.992913568262589052e+01
2.776848852523122346e+01,3.736644229368113201e+01,-7.739827717121731609e+01,-5.058870623033556058e+01
2.778989544355840380e+01,3.805095512757080201e+01,-7.736969495270804487e+01,-5.125482518944003374e+01
2.781137251017065992e+01,3.873771104010784683e+01,-7.734101907318783731e+01,-5.192312695234276987e+01
2.783277942849784026e+01,3.942222387399751682e+01,-7.731243685467856608e+01,-5.258924591144724303e+01
2.785397590196981454e+01,4.010000747194506943e+01,-7.728413561920216068e+01,-5.324881645915691308e+01
2.787482163401643831e+01,4.076657567665576920e+01,-7.725630268878052220e+01,-5.389747298787525409e+01
2.789517632806757064e+01,4.141744233083485938e+01,-7.722912538543556593e+01,-5.453084989000571881e+01
2.791489968755307771e+01,4.204812127718760451e+01,-7.720279103118917874e+01,-5.514458155795178129e+01
2.793385141590281151e+01,4.265412635841925493e+01,-7.717748694806329013e+01,-5.573430238411691562e+01
2.795189121654663467e+01,4.323097141723506809e+01,-7.715340045807978697e+01,-5.629564676090456743e+01
2.796887879291440981e+01,4.377417029634031564e+01,-7.713071888326058456e+01,-5.682424908071822500e+01
2.798467384843599604e+01,4.427923683844022662e+01,-7.710962954562758398e+01,-5.731574373596133398e+01
2.799913608654125596e+01,4.474168488624007267e+01,-7.709031976720270052e+01,-5.776576511903737554e+01
2.801212521066004157e+01,4.515702828244511124e+01,-7.707297687000783526e+01,-5.816994762234980954e+01
2.802350092422222261e+01,4.552078086976059268e+01,-7.705778817606490350e+01,-5.852392563830210293e+01
2.803312293065765104e+01,4.582845649089178153e+01,-7.704494100739580631e+01,-5.882333355929772267e+01
2.804085093339619306e+01,4.607556898854392102e+01,-7.703462268602244478e+01,-5.906380577774013574e+01
2.804654463586770419e+01,4.625763220542227572e+01,-7.702702053396673421e+01,-5.924097668603280908e+01
2.805006374150204707e+01,4.637015998423210306e+01,-7.702232187325057566e+01,-5.935048067657920257e+01
2.805126795372908077e+01,4.640866616767865338e+01,-7.702071402589587024e+01,-5.938795214178278314e+01
2.754999999999998295e+01,4.459000000000000341e+01,-7.827000000000001023e+01,-5.945000000000001705e+01
2.743310386835943859e+01,4.459828572808125102e+01,-7.827402715605192896e+01,-5.944673927173780470e+01
2.709149478463318772e+01,4.462249936062936939e+01,-7.828579583538810027e+01,-5.943721034739872522e+01
2.653879171561430539e+01,4.466167557010091116e+01,-7.830483685477919664e+01,-5.942179311765410432e+01
2.578861362809586311e+01,4.471484902895242897e+01,-7.833068103099584789e+01,-5.940086747317526061e+01
2.485457948887093593e+01,4.478105440964047546e+01,-7.836285918080872648e+01,-5.937481330463352691e+01
2.375030826473259182e+01,4.485932638462160327e+01,-7.840090212098846223e+01,-5.934401050270022182e+01
2.248941892247390939e+01,4.494869962635236504e+01,-7.844434066830571339e+01,-5.930883895804667816e+01
2.108553042888796014e+01,4.504820880728932053e+01,-7.849270563953113822e+01,-5.926967856134421453e+01
1.955226175076781914e+01,4.515688859988901527e+01,-7.854552785143536653e+01,-5.922690920326416375e+01
1.790323185490655078e+01,4.527377367660800900e+01,-7.860233812078908500e+01,-5.918091077447783732e+01
1.615205970809723368e+01,4.539789870990284726e+01,-7.866266726436290924e+01,-5.913206316565657517e+01
